# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
bei an 	備案	c=1 d=1 t=4286
bei fen 	備份	c=8 d=3.36507 t=4457
bei feng 	北風	c=1 d=1 t=6415
bei jie chi 	被劫持	c=1 d=1 t=5643
bei jing 	北京	c=3 d=2.89771 t=4041
bei jing 	背景	c=2 d=1.00207 t=4029
bei jing qiang sheng 	背景槍聲	c=1 d=1 t=1372
bei pan 	背叛	c=2 d=1.9802 t=2645
bei ren 	被人	c=1 d=1 t=6897
bei wo 	被我	c=0 d=0.1 t=4174
bei yun ying 	被運營	c=1 d=1 t=4835
bei zhua 	被抓	c=1 d=1 t=6828
ben 	本	c=1 d=1 t=7856
ben di 	本地	c=2 d=1 t=5315
ben lai 	本來	c=4 d=1.00031 t=7504
ben shen 	本身	c=8 d=3.83139 t=7420
beng di 	蹦迪	c=1 d=1 t=3201
bi 	比	c=7 d=1.0856 t=7598
bi 	鄙	c=1 d=1.01268 t=4408
bi ge 	逼哥	c=3 d=2.55791 t=1388
bi ji ben 	筆記本	c=3 d=1 t=5162
bi jiao 	比較	c=2 d=0.774916 t=8218
bi jiao di 	比較低	c=1 d=1 t=353
bi jing 	畢竟	c=1 d=1 t=1022
bi kai 	避開	c=1 d=1 t=4831
bi mao 	鼻毛	c=2 d=1.08127 t=5560
bi mian 	避免	c=1 d=1 t=2596
bi sai 	比賽	c=2 d=1.02732 t=6460
bi wo 	比我	c=3 d=1.00002 t=5760
bi xu yao 	必須要	c=2 d=1.84789 t=7533
bi yao 	必要	c=1 d=1 t=7796
bi zhi 	壁紙	c=1 d=1.00332 t=8031
bi zi 	鼻子	c=2 d=1.99501 t=5552
bian 	變	c=0 d=0.1 t=3966
bian bai 	變白	c=1 d=1 t=7133
bian cheng 	變成	c=2 d=1.07326 t=8034
bian duo le 	變多了	c=1 d=1 t=3967
bian hao 	編號	c=2 d=1.97045 t=3497
bian ji 	編輯	c=2 d=1.71534 t=5476
bian ji qi 	編輯器	c=1 d=1 t=5076
bian liang 	變量	c=1 d=1 t=2367
bian ma 	編碼	c=1 d=1 t=4293
bian shang 	邊上	c=1 d=1 t=6507
bian tai 	變態	c=0 d=0.1 t=4700
bian yi 	編譯	c=3 d=1.00001 t=3590
bian yuan 	邊緣	c=1 d=1 t=402
biao 	表	c=2 d=1.42741 t=2374
biao da fang shi 	表達方式	c=1 d=1 t=254
biao ge 	表格	c=0 d=0.1 t=3107
biao ge zhong 	表格中	c=1 d=1 t=3108
biao qing 	表情	c=1 d=1.09753 t=6796
biao qing di 	表情帝	c=2 d=1.00225 t=8011
biao ti dang 	標題黨	c=1 d=1 t=5877
biao zhun 	標準	c=1 d=1 t=416
biao zi 	婊子	c=1 d=1 t=7281
bie 	別	c=3 d=1.59789 t=6918
bie de 	別的	c=3 d=1.00148 t=8029
bie ren 	別人	c=5 d=1.85998 t=7599
bie ren de 	別人的	c=1 d=1 t=3585
bie wen 	別問	c=1 d=1 t=4786
bie xie 	別寫	c=1 d=1 t=5310
bie xue 	別學	c=1 d=0.1 t=8106
bie xue le 	別學了	c=1 d=1 t=8107
bin an lu 	濱安路	c=1 d=1 t=79
bin jiang qu 	濱江區	c=1 d=1 t=78
bing 	並	c=2 d=1.85214 t=956
bing bu duo 	並不多	c=1 d=0.798516 t=8218
bing cheng 	冰城	c=0 d=0.1 t=7110
bing fa 	併發	c=2 d=1.82696 t=432
bo 	播	c=1 d=1 t=6664
bo bi 	波比	c=2 d=2.05687 t=4809
bo fang 	播放	c=4 d=1.00002 t=3346
bo fang qi 	播放器	c=2 d=1.03206 t=1543
bo fang yi xia 	播放一下	c=1 d=1 t=880
bo li 	剝離	c=1 d=1 t=2394
bo li chuang 	玻璃窗	c=1 d=1 t=288
bo tong 	博通	c=1 d=1 t=5656
bu 	不	c=6 d=0.209981 t=7810
bu 	補	c=3 d=1.00974 t=5777
bu an quan 	不安全	c=1 d=1 t=1700
bu bao 	不報	c=0 d=0.1 t=6187
bu chan 	不產	c=1 d=1 t=359
bu chu 	不出	c=0 d=0.1 t=7786
bu chu ge 	不出個	c=1 d=1 t=7787
bu chu lai 	不出來	c=1 d=1 t=7175
bu cun chu 	不存儲	c=1 d=1 t=7596
bu cuo 	不錯	c=2 d=1 t=8032
bu da 	不打	c=0 d=0.1 t=7915
bu da qi lai 	不打起來	c=1 d=1 t=7916
bu dang 	不擋	c=1 d=1 t=6950
bu dao 	不到	c=3 d=1.00002 t=6157
bu de 	不得	c=1 d=1.05769 t=5282
bu de bu 	不得不	c=0 d=0.1 t=7797
bu de bu huai yi 	不得不懷疑	c=1 d=1 t=7798
bu deng lu 	不登錄	c=1 d=1 t=3185
bu dian 	不點	c=1 d=1 t=6027
bu ding 	補丁	c=1 d=1 t=2884
bu dong 	不懂	c=3 d=1.00086 t=5493
bu dou 	不都	c=1 d=1 t=7912
bu dou shi 	不都是	c=1 d=1 t=295
bu dui 	不對	c=5 d=0.814647 t=8218
bu fen 	部分	c=1 d=1 t=2170
bu fen qu 	不分區	c=1 d=1 t=1798
bu fen xiang 	不分享	c=1 d=1 t=717
bu fu he 	不符合	c=1 d=1 t=6516
bu gan 	不幹	c=1 d=1 t=1928
bu gao 	不高	c=1 d=1 t=8120
bu gao yu 	不高於	c=1 d=1 t=1224
bu gei 	不給	c=1 d=1 t=5498
bu gei 	補給	c=1 d=1 t=5497
bu gong zuo 	不工作	c=1 d=1 t=3039
bu gou 	不夠	c=2 d=1 t=5986
bu guan 	不關	c=1 d=1 t=192
bu guan bi 	不關閉	c=1 d=1 t=2586
bu guo 	不過	c=7 d=1 t=8122
bu hao 	不好	c=3 d=1.0004 t=6825
bu hao ce 	不好測	c=1 d=1 t=397
bu hao xiao 	不好笑	c=1 d=1 t=713
bu he li 	不合理	c=0 d=0.1 t=3932
bu he zuo 	不合作	c=1 d=1 t=2490
bu hei 	不黑	c=1 d=1 t=1939
bu hui 	不會	c=7 d=1.06785 t=5047
bu hui ba 	不會吧	c=1 d=1 t=332
bu hui nong 	不惠農	c=1 d=1 t=4331
bu hui yong 	不會用	c=1 d=1 t=5492
bu jian 	不見	c=1 d=1 t=1596
bu jian yi 	不建議	c=1 d=1 t=2216
bu jin 	不禁	c=1 d=1 t=2857
bu jin 	不進	c=1 d=1 t=1291
bu jiu 	不久	c=1 d=1 t=6412
bu jiu shi 	不就是	c=1 d=1 t=1692
bu jiu you 	不就有	c=1 d=1 t=7811
bu kan 	不砍	c=1 d=1 t=3958
bu kao pu 	不靠譜	c=1 d=1 t=3430
bu ke neng 	不可能	c=3 d=1.00021 t=7724
bu ke si yi 	不可思議	c=1 d=1 t=6610
bu liao 	不了	c=3 d=1 t=8146
bu mang mu 	不盲目	c=1 d=1 t=4084
bu men 	部門	c=0 d=0.1 t=4413
bu ming xian 	不明顯	c=1 d=1 t=1821
bu neng 	不能	c=13 d=1.00103 t=8138
bu pei 	不配	c=1 d=1 t=1393
bu po bu li 	不破不立	c=1 d=1 t=7033
bu qi 	不起	c=1 d=1 t=2495
bu qi guai 	不奇怪	c=1 d=1 t=5589
bu qing 	不清	c=0 d=0.10147 t=7839
bu qing chu 	不清楚	c=1 d=1 t=4565
bu qing xi 	不清晰	c=1 d=1 t=6574
bu qu 	不去	c=1 d=1 t=1578
bu ran 	不然	c=1 d=1 t=5590
bu rang ren 	不讓人	c=1 d=1 t=3147
bu ren shi 	不認識	c=1 d=1 t=5577
bu ru 	不如	c=6 d=1.01578 t=7861
bu ruo 	不弱	c=1 d=1 t=5237
bu shang 	不上	c=0 d=0.1 t=4673
bu shao 	不少	c=2 d=1.00001 t=4712
bu shi 	不是	c=28 d=1.06655 t=8218
bu shi hen hao 	不是很好	c=1 d=1 t=4146
bu shi pei 	不是陪	c=1 d=1 t=4508
bu shuo 	不說	c=1 d=1 t=8030
bu si 	不死	c=0 d=0.1 t=4774
bu si hua 	不絲滑	c=1 d=1 t=1747
bu tai 	不太	c=1 d=0.1 t=5120
bu tai 	不抬	c=1 d=1 t=4387
bu tai xing 	不太行	c=2 d=1.01046 t=6033
bu tiao 	不調	c=2 d=1.97531 t=7183
bu tui 	不退	c=0 d=0.1 t=1402
bu wan 	不玩	c=1 d=1 t=6462
bu wan mei 	不完美	c=1 d=1 t=2196
bu xia 	不下	c=0 d=0.1 t=4348
bu xia bai 	不瞎掰	c=1 d=1 t=1942
bu xiang 	不想	c=0 d=0.1 t=5786
bu xiang qi 	不想起	c=1 d=1 t=5787
bu xin teng 	不心疼	c=1 d=1 t=5872
bu xing 	不行	c=15 d=2.01315 t=7651
bu xing a 	不行啊	c=1 d=1 t=3387
bu xing ba 	不行吧	c=1 d=1 t=853
bu xu yao 	不需要	c=1 d=1 t=2051
bu yao 	不要	c=1 d=1 t=6084
bu yi ding 	不一定	c=3 d=1.00108 t=6528
bu yi yang 	不一樣	c=3 d=1 t=5765
bu yi zhi 	不一致	c=1 d=1 t=6775
bu yong 	不用	c=10 d=0.900325 t=8218
bu yong fen 	不用分	c=1 d=1 t=1810
bu yun xu 	不允許	c=1 d=1 t=7561
bu zai 	不再	c=1 d=1 t=4914
bu zhang 	部長	c=1 d=1 t=4406
bu zhao 	不招	c=2 d=1.94176 t=2841
bu zhe me wan 	不這麼晚	c=1 d=1 t=6830
bu zheng yi 	不正義	c=1 d=1 t=7300
bu zhi 	不知	c=1 d=1 t=569
bu zhi chi 	不支持	c=2 d=1.1 t=4529
bu zhi dao 	不知道	c=9 d=1.00494 t=8188
bu zhi jie 	不直接	c=2 d=1 t=5079
bu zhi yu 	不至於	c=0 d=0.1 t=7530
bu zhua ren 	不抓人	c=1 d=1 t=7731
bu zou 	步驟	c=1 d=1 t=1511
bu zu 	不足	c=2 d=1.82696 t=2130
bu zuo 	不做	c=1 d=1 t=1696
ca 	擦	c=1 d=1 t=8086
ca bian 	擦邊	c=3 d=1.05004 t=8014
ca ca 	擦擦	c=1 d=1 t=4365
ca xie 	擦寫	c=1 d=1 t=5850
cai 	才	c=5 d=1.01981 t=5164
cai 	猜	c=1 d=1 t=670
cai 	菜	c=2 d=1.97531 t=6936
cai dao 	菜刀	c=1 d=1 t=4867
cai fa 	財閥	c=1 d=1 t=6333
cai fa xian 	纔發現	c=1 d=1 t=5014
cai ji 	菜雞	c=2 d=1.956 t=6878
cai kai shi 	纔開始	c=1 d=1 t=3692
cai wu 	財務	c=2 d=1.94176 t=6551
cai yao 	菜餚	c=1 d=1 t=5163
cai yi 	才藝	c=1 d=1 t=6370
cai yong 	才用	c=1 d=1 t=7228
cai yong 	採用	c=1 d=1 t=7227
cai you 	纔有	c=1 d=1 t=7480
cai zhe 	踩着	c=1 d=1 t=7830
can 	參	c=1 d=1 t=7523
can shu 	參數	c=6 d=1.98924 t=6784
cang ku 	倉庫	c=2 d=1.41478 t=3804
cao 	槽	c=1 d=1 t=4963
cao zuo 	操作	c=1 d=1 t=4416
cao zuo yuan 	操作員	c=1 d=1 t=4455
ce 	測	c=0 d=0.1 t=396
ce lve 	策略	c=4 d=3.78437 t=4248
ce shi 	測試	c=10 d=4.7182 t=7424
ce suo 	廁所	c=1 d=1 t=4094
ce suo li 	廁所裏	c=1 d=1 t=3857
ceng 	層	c=1 d=1 t=85
cha 	差	c=2 d=1.9802 t=995
cha 	查	c=1 d=1 t=601
cha bu duo 	差不多	c=3 d=1.10807 t=6199
cha dao 	查到	c=1 d=1 t=3326
cha dian 	差點	c=1 d=1 t=7195
cha guan 	插管	c=1 d=1 t=2962
cha jian 	插件	c=2 d=1.04179 t=828
cha kan 	查看	c=13 d=1.09659 t=8181
cha ru 	插入	c=2 d=1.9802 t=3914
cha shang 	插上	c=2 d=1.956 t=2453
chai zi 	拆字	c=1 d=1 t=637
chan pin 	產品	c=2 d=1 t=7631
chang 	長	c=1 d=1 t=345
chang jian 	常見	c=0 d=0.1 t=4702
chang jun 	場均	c=1 d=1 t=1088
chang sheng bu lao 	長生不老	c=1 d=1 t=7902
chang zheng 	長征	c=1 d=1 t=6593
chang zhou 	常州	c=1 d=1 t=3732
chao 	超	c=1 d=1 t=7215
chao 	鈔	c=0 d=0.1 t=6404
chao guan 	超管	c=1 d=1 t=4788
chao ji 	超級	c=1 d=1 t=5053
chao neng li 	鈔能力	c=1 d=1 t=6405
che 	車	c=2 d=1 t=6980
che hui 	撤回	c=3 d=1.99501 t=5034
che liang 	車輛	c=1 d=1 t=5524
che pai 	車牌	c=1 d=1 t=5654
che xi 	車系	c=1 d=1 t=5291
che xi ya 	車系呀	c=1 d=1 t=904
che xiao 	撤銷	c=1 d=1 t=7602
cheng 	成	c=5 d=1.01278 t=7658
cheng 	誠	c=3 d=2.97521 t=8001
cheng bei 	成倍	c=1 d=1 t=7665
cheng gong 	成功	c=2 d=0.100016 t=6211
cheng hui 	程慧	c=1 d=1 t=7334
cheng ji 	成績	c=1 d=1 t=8143
cheng jiu 	成就	c=0 d=0.1 t=2797
cheng nian 	成年	c=1 d=1 t=7826
cheng shou 	承受	c=1 d=1 t=2494
cheng tian 	成天	c=1 d=1 t=7858
cheng xu 	程序	c=2 d=1.01925 t=2915
cheng xu yuan 	程序員	c=1 d=1 t=792
chi 	喫	c=1 d=1 t=6570
chi bao 	喫飽	c=1 d=1.02288 t=1915
chi bao fan 	喫飽飯	c=1 d=1 t=1621
chi cun 	尺寸	c=1 d=1 t=5983
chi dao 	遲到	c=1 d=1 t=5782
chi de 	喫得	c=1 d=1 t=6617
chi la 	喫辣	c=1 d=1.09704 t=7291
chi wan 	喫完	c=1 d=1 t=4850
chong 	充	c=3 d=1 t=7196
chong bai 	崇拜	c=1 d=1 t=3241
chong ding xiang 	重定向	c=2 d=1.96561 t=420
chong fu 	重複	c=1 d=1 t=4437
chong ge 	衝個	c=1 d=1 t=1476
chong ge 	衝哥	c=3 d=1.92774 t=4178
chong ming 	崇明	c=1 d=1 t=3119
chong qian 	衝錢	c=1 d=1 t=1349
chong qing 	重慶	c=2 d=1.002 t=6604
chong zhuang 	重裝	c=1 d=1 t=2246
chou 	抽	c=1 d=1.06079 t=3949
chou lou 	醜陋	c=1 d=1 t=1929
chou qu 	抽取	c=1 d=1 t=3526
chou tuo luo 	抽陀螺	c=1 d=1 t=3950
chu 	出	c=2 d=1 t=4996
chu fa 	處罰	c=0 d=0.1 t=3489
chu fa 	觸發	c=1 d=1 t=116
chu fa jue ding shu 	處罰決定書	c=1 d=1 t=3490
chu ge 	出個	c=1 d=1 t=8016
chu le 	除了	c=4 d=1.1524 t=7639
chu li 	處理	c=1 d=0.878801 t=1411
chu men 	出門	c=0 d=0.1 t=1144
chu men dan 	出門單	c=6 d=1 t=8007
chu piao 	出票	c=1 d=1.08479 t=1112
chu qu 	出去	c=3 d=1 t=6022
chu qu le 	出去了	c=1 d=1 t=697
chu sheng 	畜生	c=1 d=1 t=7591
chu shi 	出事	c=1 d=1 t=4984
chu xian 	出現	c=5 d=1.51592 t=3114
chuai 	揣	c=0 d=0.1 t=5133
chuai hui qu 	揣回去	c=1 d=1 t=5134
chuai zhe 	揣着	c=1 d=1 t=5127
chuan 	傳	c=1 d=1 t=6770
chuan 	穿	c=4 d=1.00003 t=6769
chuan can 	傳參	c=1 d=1 t=7525
chuan can 	穿慘	c=1 d=1 t=7522
chuan dao 	傳到	c=1 d=1 t=7530
chuan le 	傳了	c=1 d=1 t=6777
chuan shu 	傳輸	c=3 d=1.0004 t=7376
chuan tong 	傳統	c=1 d=1 t=7852
chuan tong wen hua 	傳統文化	c=1 d=1 t=2469
chuang jian 	創建	c=3 d=1.10018 t=3022
chuang kou 	窗口	c=3 d=2.85736 t=545
chui 	吹	c=2 d=1.01517 t=5710
chun 	純	c=3 d=1 t=6935
chun yan mai 	純燕麥	c=1 d=1 t=4763
ci 	次	c=6 d=0.164521 t=6541
ci 	詞	c=1 d=1 t=5198
ci dian 	詞典	c=1 d=1 t=129
ci ku 	詞庫	c=4 d=1.20502 t=654
ci pan 	磁盤	c=4 d=1 t=6851
cong 	從	c=5 d=1 t=7715
cong ming 	聰明	c=1 d=1 t=3120
cong qian 	從前	c=1 d=1 t=4632
cou dao 	湊到	c=1 d=1 t=6049
cui hua 	翠花	c=1 d=1 t=4717
cui jian 	崔健	c=1 d=1 t=7012
cun 	存	c=1 d=1 t=7545
cun chu 	存儲	c=4 d=0.100622 t=7595
cun zai 	存在	c=2 d=1 t=7980
cuo 	錯	c=1 d=1 t=234
cuo le 	錯了	c=2 d=1 t=5339
cuo wu 	錯誤	c=2 d=1 t=2905
da 	大	c=6 d=0.92636 t=7658
da 	打	c=14 d=1.2755 t=6325
da 	達	c=1 d=1 t=6683
da an 	答案	c=1 d=1 t=6990
da bai 	大白	c=1 d=1 t=5308
da bi sai 	打比賽	c=2 d=1.03035 t=5722
da bu fen 	大部分	c=1 d=1 t=2181
da bu tong 	打不通	c=2 d=1.75578 t=3395
da de 	大的	c=1 d=1 t=1932
da fei ji 	打飛機	c=1 d=1 t=599
da ge 	大哥	c=6 d=1.0068 t=2362
da hua 	大華	c=1 d=1 t=4346
da hui lai 	打回來	c=1 d=1 t=6819
da huo 	大夥	c=1 d=1 t=7255
da jia 	大家	c=1 d=1 t=1289
da jia 	打架	c=1 d=1 t=4894
da kai 	打開	c=7 d=1.0649 t=7057
da ke le 	打可樂	c=1 d=1 t=5998
da lu 	大陸	c=1 d=1 t=4993
da sha 	大廈	c=1 d=1 t=82
da tong 	打通	c=0 d=0.1 t=4391
da tu 	大圖	c=0 d=0.1 t=3834
da tu sha 	大屠殺	c=1 d=1 t=3836
da wen jian 	大文件	c=1 d=1 t=7659
da wo 	打我	c=1 d=1 t=778
da xiao 	大小	c=2 d=1.99005 t=938
da xiao bian 	大小便	c=1 d=1 t=4151
da xue 	大學	c=1 d=1 t=1807
da ya 	打壓	c=1 d=1 t=1901
da ye 	大爺	c=0 d=0.1 t=4651
da ye 	打野	c=1 d=1 t=7722
da ye shuo 	大爺說	c=1 d=1 t=4652
da yi dun 	打一頓	c=1 d=1 t=3051
da yin 	打印	c=2 d=1.98511 t=2582
da yin ji 	打印機	c=3 d=1.9802 t=6577
da you xi 	打遊戲	c=1 d=1 t=5208
da yue 	大約	c=1 d=1 t=3479
da zhang 	打仗	c=1 d=1 t=4898
dai 	帶	c=2 d=1 t=8082
dai 	待	c=0 d=0.1 t=4279
dai jin 	殆盡	c=1 d=1 t=2787
dai kuan 	貸款	c=1 d=1 t=5499
dai kuan le 	貸款了	c=1 d=1 t=3056
dai le 	帶了	c=1 d=1 t=2411
dai li 	代理	c=2 d=1.00142 t=6634
dai ling 	帶領	c=1 d=1 t=2657
dai ma 	代碼	c=1 d=1 t=2838
dai ni 	帶你	c=1 d=1 t=4078
dai ti 	代替	c=1 d=1 t=2480
dai tou 	帶頭	c=1 d=1 t=2775
dai tou ren 	帶頭人	c=1 d=1 t=1411
dai xian 	帶線	c=1 d=1 t=6002
dai xiu fu 	待修復	c=1 d=1 t=4280
dai zi 	袋子	c=1 d=1 t=5650
dan 	但	c=6 d=1.00129 t=7628
dan 	單	c=1 d=0.107447 t=1144
dan dong 	丹東	c=1 d=1 t=6318
dan du 	單獨	c=4 d=1.00042 t=3916
dan fei 	單飛	c=0 d=0.1 t=1072
dan ge 	單個	c=3 d=1.76389 t=1110
dan ge 	耽擱	c=0 d=0.1 t=4173
dan ge zhe 	耽擱着	c=1 d=1 t=4174
dan hao 	單號	c=1 d=1 t=214
dan jiu shi 	但就是	c=1 d=1 t=1746
dan mu 	彈幕	c=1 d=1 t=7685
dan sheng cun 	但生存	c=1 d=1 t=6759
dan shi 	但是	c=16 d=0.782705 t=8218
dan xie guo 	但寫過	c=1 d=1 t=1890
dan zhang 	但長	c=1 d=1 t=6797
dan zhen zheng 	但真正	c=1 d=1 t=1758
dan zi 	單子	c=4 d=1 t=7309
dang 	擋	c=1 d=1 t=6811
dang 	當	c=2 d=1.00274 t=7278
dang 	黨	c=2 d=1.00905 t=7192
dang nian 	當年	c=2 d=0.100053 t=3237
dang qian 	當前	c=8 d=1 t=5441
dang qian 	當千	c=1 d=1 t=6447
dang qu 	擋去	c=1 d=1 t=6937
dang shi 	當時	c=1 d=1 t=6562
dang tuan 	黨團	c=0 d=0.1 t=1626
dang xiao chou 	當小丑	c=1 d=1 t=551
dang zheng 	黨證	c=1 d=1 t=5947
dao 	刀	c=4 d=1 t=7702
dao 	到	c=19 d=1.58616 t=7820
dao 	道	c=4 d=1.0045 t=7837
dao chu 	到處	c=3 d=1 t=7814
dao chu 	導出	c=2 d=1.00517 t=5544
dao fan 	倒反	c=0 d=0.1 t=7284
dao fan tian gang 	倒反天罡	c=1 d=1 t=7285
dao feng 	刀鋒	c=1 d=1.09501 t=6670
dao feng yi zhi 	刀鋒意志	c=1 d=1 t=6671
dao gong si 	到公司	c=1 d=1 t=2451
dao jiao 	道教	c=2 d=1.99005 t=7899
dao le 	到了	c=2 d=1.50158 t=6630
dao li 	道理	c=1 d=1 t=6997
dao mei 	刀妹	c=2 d=1.00032 t=6670
dao na 	到哪	c=0 d=0.1 t=2429
dao ru 	導入	c=3 d=2.9216 t=672
dao sha shi hou 	到啥時候	c=1 d=1 t=1568
dao shang hai 	到上海	c=1 d=1 t=5017
dao shi 	倒是	c=2 d=1 t=7860
dao shi hou 	到時候	c=1 d=1 t=776
dao wan 	到晚	c=0 d=0.1 t=3039
dao zhe 	到這	c=1 d=1 t=7059
de 	得	c=8 d=1.00206 t=7846
de 	德	c=1 d=1.00007 t=4710
de 	的	c=357 d=7.86394 t=8218
de hao 	的好	c=1 d=1 t=5708
de jia 	得加	c=1 d=1 t=8057
de jia 	的家	c=0 d=0.1 t=6046
de ren 	的人	c=1 d=1 t=7284
de ren he 	的任何	c=1 d=1 t=1495
de ruan jian 	的軟件	c=1 d=1 t=2068
de shi hou 	的時候	c=1 d=1 t=8152
de tie zi 	的帖子	c=1 d=1 t=3657
de xiang 	的像	c=1 d=1 t=5725
deng 	等	c=4 d=1.13466 t=6232
deng 	鄧	c=2 d=1.45841 t=2082
deng dai 	等待	c=2 d=1.97045 t=2593
deng lu 	登錄	c=4 d=1.00002 t=4885
deng yu 	等於	c=1 d=1 t=2585
deng zhe 	等着	c=1 d=1 t=844
di 	低	c=2 d=1.05156 t=1096
di 	地	c=1 d=1 t=279
di 	帝	c=2 d=1.00103 t=7761
di 	底	c=1 d=1 t=2925
di 	滴	c=1 d=1 t=6899
di ban 	地板	c=1 d=1 t=1401
di dao 	地道	c=1 d=1 t=7014
di fang 	地方	c=4 d=1 t=8131
di fang xing 	地方行	c=1 d=1 t=5911
di gui 	遞歸	c=1 d=1 t=3886
di ji 	低級	c=0 d=0.1 t=4632
di ji ge 	第幾個	c=2 d=1.99005 t=7437
di shi 	的士	c=1 d=1 t=2578
di si 	第四	c=1 d=1 t=217
di si tiao 	第四條	c=1 d=1 t=207
di tu 	地圖	c=1 d=1 t=4746
di wu 	第五	c=0 d=0.1 t=7709
di wu ba 	第五把	c=1 d=1 t=7710
di yi 	第一	c=1 d=1 t=659
di yi de 	第一的	c=1 d=1 t=6099
di yu 	地域	c=0 d=0.1 t=6393
di yu hei 	地域黑	c=1 d=1 t=6394
di zhi 	地址	c=3 d=2.10218 t=825
di zhi 	抵制	c=3 d=1.03416 t=6674
dian 	店	c=3 d=1 t=5658
dian 	點	c=7 d=1.00456 t=7690
dian feng shan 	電風扇	c=1 d=1 t=6435
dian hua 	電話	c=2 d=1 t=7077
dian le 	點了	c=2 d=1.00463 t=4385
